state_body,program_code,program_code_ext,program_name,program_goal,program_result_desc,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,state_body_annual_plan,state_body_rev_annual_plan,state_body_period_plan,state_body_rev_period_plan,state_body_actual,state_body_actual_vs_rev_annual_plan,state_body_actual_vs_rev_period_plan,program_annual_plan,program_rev_annual_plan,program_period_plan,program_rev_period_plan,program_actual,program_actual_vs_rev_annual_plan,program_actual_vs_rev_period_plan,subprogram_annual_plan,subprogram_rev_annual_plan,subprogram_period_plan,subprogram_rev_period_plan,subprogram_actual,subprogram_actual_vs_rev_annual_plan,subprogram_actual_vs_rev_period_plan
Հանրապետության նախագահի աշխատակազմ,1154,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11001,Հանրապետության նախագահի գործունեության և ներկայացուցչականության ապահովում,Հանրապետության նախագահի` ներքին և արտաքին քաղաքականության առնչությամբ Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովում,Ծառայությունների մատուցում,1618237.9,1682440.4,791279.3,855481.8,693438.4,0.41200000000000003,0.8109999999999999,1618237.9,1682440.4,791279.3,855481.8,693438.4,0.41200000000000003,0.8109999999999999,1618237.9,1618237.9,791279.3,791279.3,629791.6,0.389,0.7959999999999999
Հանրապետության նախագահի աշխատակազմ,1154,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11005,"ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ","ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ",Ծառայությունների մատուցում,1618237.9,1682440.4,791279.3,855481.8,693438.4,0.41200000000000003,0.8109999999999999,1618237.9,1682440.4,791279.3,855481.8,693438.4,0.41200000000000003,0.8109999999999999,0.0,160.0,0.0,160.0,160.0,1.0,1.0
Հանրապետության նախագահի աշխատակազմ,1154,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11006,Պետական կառավարման  մարմինների կատարողականի գնահատում և խրախուսում,"Պետական մարմնի գործունեության առաջնահերթությունների սահմանում, կատարողականի գնահատման հիման վրա՛ խրախուսման միջոցով արդյունավետության բարձրացում",Ծառայությունների մատուցում,1618237.9,1682440.4,791279.3,855481.8,693438.4,0.41200000000000003,0.8109999999999999,1618237.9,1682440.4,791279.3,855481.8,693438.4,0.41200000000000003,0.8109999999999999,0.0,64042.5,0.0,64042.5,63486.8,0.991,0.991
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11001,"ՀՀ Ազգային ժողովի գործունեության ապահովում, օրենսդրական, վերլուծական և ներկայացուցչական ծառայություններ","Իրավական ակտերի նախագծերի մասնագիտական փորձաքննություն, արտաքին կապերի կառավարում, տեղեկատվության և խորհրդատվության տրամադրում",Ծառայությունների մատուցում,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,6163087.6,6164028.0,2892416.4,2893356.8,2084742.4,0.33799999999999997,0.721
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11002,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների վերապատրաստում,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների մասնագիտական հմտությունների և կարողությունների զարգացում,Ծառայությունների մատուցում,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,1309.2,1309.2,0.0,0.0,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11003,ՀՀ Ազգային ժողովի դերի բարձրացմանն  ուղղված միջոցառումների իրականացում,"ՀՀ ԱԺ նախագահի հովանու ներքո իրականացվող գիտական, կրթական, մշակութային և սպորտային միջոցառումների կազմակերպում",,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,168765.0,168765.0,111382.5,111382.5,57382.5,0.34,0.515
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11005,Պետական կառավարման  մարմինների կատարողականի գնահատում և խրախուսում,"Պետական մարմնի գործունեության առաջնահերթությունների սահմանում, կատարողականի գնահատման հիման վրա՛ խրախուսման միջոցով արդյունավետության բարձրացում",Ծառայությունների մատուցում,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,0.0,667094.7,0.0,667094.7,614726.0,0.9209999999999999,0.9209999999999999
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12001,Միջազգային խորհրդարանական կազմակերպություններին ՀՀ անդամակցության վճարներ,"ՀՀ անդամակցություն միջազգային խորհրդարանական կազմակերպություններին, միջազգային կազմակերպությունների աշխատանքներին ՀՀ մասնակցություն, երկրում նրանց կողմից ծրագրերի իրականացման ապահովում",Տրանսֆերտների տրամադրում,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,149717.1,149717.1,149717.1,149717.1,85996.9,0.574,0.574
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12002,Աջակցություն կուսակցություններին և կուսակցությունների        դաշինքներին,Օրենսդրությամբ (օրենքներով և կառավարության որոշումներով) նախատեսված օժանդակություն և փոխհատուցումներ,Տրանսֆերտների տրամադրում,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,520733.7,502783.7,260366.9,242416.9,136654.7,0.272,0.564
ՀՀ Ազգային ժողով,1024,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,31001,Ազգային ժողովի տեխնիկական հագեցվածության բարելավում,Ազգային ժողովի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,7003612.6,7686054.3,3413882.9,4096324.6,3011859.1,0.392,0.735,0.0,32356.6,0.0,32356.6,32356.6,1.0,1.0
