state_body,program_code,program_name,program_goal,program_result_desc,subprogram_code,subprogram_name,subprogram_desc,subprogram_type,state_body_annual_plan,state_body_rev_annual_plan,state_body_period_plan,state_body_rev_period_plan,state_body_actual,state_body_actual_vs_rev_annual_plan,state_body_actual_vs_rev_period_plan,program_annual_plan,program_rev_annual_plan,program_period_plan,program_rev_period_plan,program_actual,program_actual_vs_rev_annual_plan,program_actual_vs_rev_period_plan,subprogram_annual_plan,subprogram_rev_annual_plan,subprogram_period_plan,subprogram_rev_period_plan,subprogram_actual,subprogram_actual_vs_rev_annual_plan,subprogram_actual_vs_rev_period_plan
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11001,Հանրապետության նախագահի գործունեության և ներկայացուցչականության ապահովում,Հանրապետության նախագահի` ներքին և արտաքին քաղաքականության առնչությամբ Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովում,Ծառայությունների մատուցում,1602527.0,1607914.7,751918.7,757306.4,552863.6,0.344,0.73,1602527.0,1607914.7,751918.7,757306.4,552863.6,0.344,0.73,1598764.5,1598764.5,749661.2,749661.2,548699.3,0.343,0.732
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11003,Արտասահմանյան պատվիրակությունների ընդունելություններ,Արտասահմանյան պատվիրակությունների ընդունելություններ,Ծառայությունների մատուցում,1602527.0,1607914.7,751918.7,757306.4,552863.6,0.344,0.73,1602527.0,1607914.7,751918.7,757306.4,552863.6,0.344,0.73,0.0,5287.7,0.0,5287.7,2220.3,0.42,0.42
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,11005,"ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ","ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ",,1602527.0,1607914.7,751918.7,757306.4,552863.6,0.344,0.73,1602527.0,1607914.7,751918.7,757306.4,552863.6,0.344,0.73,0.0,100.0,0.0,100.0,100.0,1.0,1.0
ՀՀ Նախագահի աշխատակազմ,1154,Հանրապետության նախագահի լիազորությունների իրականացման ապահովում,Աջակցել Հանրապետության նախագահի լիազորությունների իրականացման ապահովմանը,ՀՀ նախագահի  Սահմանադրությամբ սահմանված լիազորությունների իրականացման ապահովումը,31001,Հանրապետության նախագահի աշխատակազմի տեխնիկական հագեցվածության բարելավում,Հանրապետության նախագահի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,1602527.0,1607914.7,751918.7,757306.4,552863.6,0.344,0.73,1602527.0,1607914.7,751918.7,757306.4,552863.6,0.344,0.73,3762.5,3762.5,2257.5,2257.5,1844.0,0.49,0.817
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11001,"ՀՀ Ազգային ժողովի գործունեության ապահովում, օրենսդրական, վերլուծական և ներկայացուցչական ծառայություններ","Իրավական ակտերի նախագծերի մասնագիտական փորձաքննություն, արտաքին կապերի կառավարում, տեղեկատվության և խորհրդատվության տրամադրում",Ծառայությունների մատուցում,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,5488263.8,5457237.9,2668022.9,2636997.0,2123425.1,0.389,0.805
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,11002,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների վերապատրաստում,ՀՀ Ազգային ժողովի աշխատակազմի պետական ծառայողների մասնագիտական հմտությունների և կարողությունների զարգացում,Ծառայությունների մատուցում,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,1260.1,1260.1,0.0,0.0,0.0,0.0,0.0
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12001,Միջազգային խորհրդարանական կազմակերպություններին ՀՀ անդամակցության վճարներ,"ՀՀ անդամակցություն միջազգային խորհրդարանական կազմակերպություններին, միջազգային կազմակերպությունների աշխատանքներին ՀՀ մասնակցություն, երկրում նրանց կողմից ծրագրերի իրականացման ապահովում",Տրանսֆերտների տրամադրում,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,176002.9,176002.9,88001.5,88001.5,32200.0,0.183,0.366
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,12002,Աջակցություն կուսակցություններին և կուսակցությունների դաշինքներին,Օրենսդրությամբ (օրենքներով և կառավարության որոշումներով) նախատեսված օժանդակություն և փոխհատուցումներ,Տրանսֆերտների տրամադրում,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,523608.4,520733.7,260366.9,260366.9,260366.9,0.5,1.0
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,31001,Ազգային ժողովի տեխնիկական հագեցվածության բարելավում,Ազգային ժողովի աշխատակազմի աշխատանքային պայմանների բարելավման համար վարչական սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,72900.0,72900.0,36450.0,36450.0,9849.1,0.135,0.27
ՀՀ Ազգային ժողով,1024,ՀՀ Ազգային ժողովի լիազորությունների իրականացման ապահովում,Օրենսդրական դաշտի ձևավորում և կատարելագործում,Արդյունավետ օրենսդրական դաշտի ապահովում,31005,ՀՀ Ազգային ժողովի տրանսպորտային միջոցներով ապահովվածության բարելավում,ՀՀ Ազգային ժողովի կարիքների համար տրանսպորտային սարքավորումների ձեռքբերում,Պետական մարմինների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,6262035.2,6282134.6,3052841.3,3075815.4,2425841.1,0.386,0.789,0.0,54000.0,0.0,54000.0,0.0,0.0,0.0
ՀՀ վարչապետի  աշխատակազմ,1018,Պետական հատվածի արդիականացման ծրագիր,Ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,"Ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում, հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:",11001,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի արդիականացման երրորդ ծրագիր,ՀՀ հանրային հատվածի ֆինանսական կառավարման բարեփոխումների մշակման և իրականացման խորհրդատվական ծառայությունների ձեռքբերում,Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,2954789.0,2954789.0,1499368.3,1499368.3,1229133.4,0.416,0.82,307918.9,307918.9,200812.5,200812.5,115309.9,0.374,0.574
ՀՀ վարչապետի  աշխատակազմ,1018,Պետական հատվածի արդիականացման ծրագիր,Ընտրված էլեկտրոնային կառավարման կատարելագործված ծառայությունների հասանելիության բարելավում,"Ծառայությունների մատուցման էլեկտրոնային կառավարման լուծումների իրագործում, հանրային հատվածի արդիականացման և կառավարման բարեփոխումների ընդգրկուն ընթացքի ապահովում:",32001,Համաշխարհային բանկի աջակցությամբ իրականացվող Պետական հատվածի արդիականացման երրորդ  ծրագրի շրջանակներում էլեկտրոնային կառավարման համակարգերի և սարքավորումների ձեռքբերում,ՀԲ-ի աջակցությամբ իրականացվող  Պետական հատվածի արդիականացման երրորդ  ծրագրի շրջանակներում էլեկտրոնային կառավարման համակարգերի  և սարքավորումների ձեռքբերում,Այլ պետական կազմակերպությունների կողմից օգտագործվող ոչ ֆինանսական ակտիվների հետ գործառնություններ,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,2954789.0,2954789.0,1499368.3,1499368.3,1229133.4,0.416,0.82,2646870.1,2646870.1,1298555.8,1298555.8,1113823.5,0.421,0.858
ՀՀ վարչապետի  աշխատակազմ,1033,"Աջակցություն քաղաքական կուսակցություններին, հասարակական կազմակերպություններին և արհմիություններին",Քաղաքացիական հասարակության զարգացում,"Քաղաքացիական հասարակության կառույցների և նրանց  կարողությունների զարգացում, տնտեսական և քաղաքական կյանքում ՔՀԿ-ների ընդգրկվածության և մասնակցության աճ",11002,Պետական կառավարման գործընթացներին քաղաքացիական հասարակության մասնակցության ապահովում,Հանրային խորհրդի բնականոն գործունեության  ապահովում,Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,73813.0,128828.7,47799.5,102815.2,86881.2,0.674,0.845,12000.0,12000.0,6893.0,6893.0,0.0,0.0,0.0
ՀՀ վարչապետի  աշխատակազմ,1033,"Աջակցություն քաղաքական կուսակցություններին, հասարակական կազմակերպություններին և արհմիություններին",Քաղաքացիական հասարակության զարգացում,"Քաղաքացիական հասարակության կառույցների և նրանց  կարողությունների զարգացում, տնտեսական և քաղաքական կյանքում ՔՀԿ-ների ընդգրկվածության և մասնակցության աճ",11003,Աջակցություն հասարակական կազմակերպություններին,Աջակցություն հասարակական կազմակերպություններին,Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,73813.0,128828.7,47799.5,102815.2,86881.2,0.674,0.845,41813.0,96828.7,20906.5,75922.2,67883.2,0.701,0.894
ՀՀ վարչապետի  աշխատակազմ,1033,"Աջակցություն քաղաքական կուսակցություններին, հասարակական կազմակերպություններին և արհմիություններին",Քաղաքացիական հասարակության զարգացում,"Քաղաքացիական հասարակության կառույցների և նրանց  կարողությունների զարգացում, տնտեսական և քաղաքական կյանքում ՔՀԿ-ների ընդգրկվածության և մասնակցության աճ",12001,Պետական աջակցություն ազգային փոքրամասնությունների հասարակական կազմակերպություններին,Պետական աջակցություն ազգային փոքրամասնությունների հասարակական կազմակերպություններին,Տրանսֆերտների տրամադրում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,73813.0,128828.7,47799.5,102815.2,86881.2,0.674,0.845,20000.0,20000.0,20000.0,20000.0,18998.0,0.95,0.95
ՀՀ վարչապետի  աշխատակազմ,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",11001,Հանրային իրազեկում և հասարակական-քաղաքագիտական հետազոտություններ,"Կառավարության գործունեության լուսաբանում, թեմատիկ վերլուծություններ և ԶԼՄ-ների ամենօրյա մշտադիտարկում",Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,860658.2,1005658.2,392900.2,528900.2,386712.2,0.385,0.731,444810.8,444810.8,200164.9,200164.9,200164.9,0.45,1.0
ՀՀ վարչապետի  աշխատակազմ,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",11002,Պետական մամուլի հրատարակում,Պետական մամուլի հրատարակում,Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,860658.2,1005658.2,392900.2,528900.2,386712.2,0.385,0.731,84069.5,84069.5,35029.0,35029.0,28022.9,0.333,0.8
ՀՀ վարչապետի  աշխատակազմ,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",11004,"Տեղեկատվության ձեռքբերման, պահպանման և արխիվացման ծառայություններ","Տեղեկատվության ձեռքբերման, պահպանման և արխիվացման ծառայություններ",Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,860658.2,1005658.2,392900.2,528900.2,386712.2,0.385,0.731,98187.4,98187.4,40911.0,40911.0,32729.1,0.333,0.8
ՀՀ վարչապետի  աշխատակազմ,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",11007,"Պատմության, մշակույթի, ազգագրության վերաբերյալ տեղեկատվության ուսումնասիրությունների իրականացում","Պատմության, մշակույթի, ազգագրության վերաբերյալ տեղեկատվության կազմում և տարածում՛ ինպաստ ժողովուրդների ազգային ինքնագիտակցության բարձրացմանն ու ամրապնդմանը",Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,860658.2,1005658.2,392900.2,528900.2,386712.2,0.385,0.731,0.0,18000.0,0.0,9000.0,9000.0,0.5,1.0
ՀՀ վարչապետի  աշխատակազմ,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",11009,Աջակցություն միջազգային լրատվամիջոցներում պետական լրատվական գործակալության ցիտման ինդեքսի և ՀՀ-ի վերաբերյալ օբյեկտիվ տեղեկատվության տարածմանը,"Պետության համար կարևոր նշանակություն ունեցողիրադարձությունների հեռարձակում ուղիղ եթերում, օտար լեզուներով թողարկվող տեղեկատվության որակի բարձրացում և քանակի ավելացում, արխիվացված տեղեկավության թվայնացում",,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,860658.2,1005658.2,392900.2,528900.2,386712.2,0.385,0.731,0.0,127000.0,0.0,127000.0,0.0,0.0,0.0
ՀՀ վարչապետի  աշխատակազմ,1091,Հանրային իրազեկում,"Հանրային կապերի, պետական մարմինների թափանցիկության, տեղեկատվության մատչելիության ապահովում","Հանրության իրազեկվածության մակարդակի բարելավում, ՀՀ համար կարևոր նշանակություն ունեցող իրադարձությունների լուսաբանում",12001,«Միր» միջպետական հեռուստառադիոընկերության ՀՀ մասնաբաժնի վճար,ԱՊՀ երկրներում հեռուստառադիոծրագրերի հեռարձակում,Տրանսֆերտների տրամադրում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,860658.2,1005658.2,392900.2,528900.2,386712.2,0.385,0.731,233590.5,233590.5,116795.3,116795.3,116795.3,0.5,1.0
ՀՀ վարչապետի  աշխատակազմ,1132,Քաղաքացիական ծառայողների վերապատրաստում,Քաղաքացիական ծառայողների աշխատանքի  արդյունավետության բարելավում,"Քաղաքացիական ծառայության ոլորտում անկախ, արհեստավարժ և բարոյական բարձր հատկանիշներով օժտված կադրերի ապահովումը",11001,ՀՀ քաղաքացիական ծառայողների վերապատրաստման ծառայություններ,Քաղաքացիական ծառայողների մասնագիտական գիտելիքների և աշխատանքային ունակությունների հետևողական վերապատրաստման և ուսուցման ծառայություններ,Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,16184.0,16184.0,8092.0,8092.0,0.0,0.0,0.0,16184.0,16184.0,8092.0,8092.0,0.0,0.0,0.0
ՀՀ վարչապետի  աշխատակազմ,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,11001,"Ծառայությունների, ծրագրերի համակարգում","Աջակցություն ՀՀ կառավարությանը` քաղաքականության և ծրագրերի մշակման և իրականացման գործընթացում, վերահսկողության կատարման գործընթացում",Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,8214440.0,7712811.0,3899918.0,3629085.4,3301110.2,0.428,0.91,5348169.8,4726641.0,2383665.3,1992932.9,1699019.8,0.359,0.853
ՀՀ վարչապետի  աշխատակազմ,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,11004,Աջակցություն ՀՀ վարչապետի աշխատակազմի ներքո գործող Արդյունահանող ճյուղերի թափանցիկության նախաձեռնության քարտուղարությանը,"Ազգային ծրագրով նախատեսված տեխնիկական առաջադրանքների նախագծերի հաստատման ենթակա փաստաթղթերի կազմում, հանրային իրազեկման միջոցառումների իրականացում և դոնոր կազմակերպությունների հետ աշխատանքի համակարգում",Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,8214440.0,7712811.0,3899918.0,3629085.4,3301110.2,0.428,0.91,23600.0,23600.0,12750.0,12750.0,5323.0,0.226,0.417
ՀՀ վարչապետի  աշխատակազմ,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,11005,Սպասարկման ծառայություններ,ՀՀ Կառավարական շենքերի և այլ գույքի սպասարկում,Ծառայությունների մատուցում,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,8214440.0,7712811.0,3899918.0,3629085.4,3301110.2,0.428,0.91,455714.7,455714.7,227857.4,227857.4,227857.4,0.5,1.0
ՀՀ վարչապետի  աշխատակազմ,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,11006,Արտասահմանյան պաշտոնական գործուղումներ,Արտասահմանյան պաշտոնական գործուղումներ,,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,8214440.0,7712811.0,3899918.0,3629085.4,3301110.2,0.428,0.91,0.0,1547.5,0.0,1547.4,1547.3,1.0,1.0
ՀՀ վարչապետի  աշխատակազմ,1136,ՀՀ Վարչապետի լիազորությունների իրականացման ապահովում,"Աջակցել կառավարության, վարչապետի և փոխվարչապետերի գործունեությանը",ՀՀ կառավարության և վարչապետի որոշումների ու հանձնարարականների կատարման վերահսկողության ապահովում,11007,"ՀՀ պետական կառավարման մարմինների կողմից  դիմումներ, հայցադիմումներ, դատարանի վճիռների  և որոշումների դեմ վերաքննիչ և վճռաբեկ բողոքներ ներկայացնելիս` «Պետական տուրքի մասին» ՀՀ օրենքով սահմանված վճարումներ",,,19539583.9,21436847.9,9494098.1,10455665.2,7779761.0,0.363,0.744,8214440.0,7712811.0,3899918.0,3629085.4,3301110.2,0.428,0.91,0.0,3652.5,0.0,3652.5,3652.5,1.0,1.0
